Departure Date,Departure Time,Departure Airport Code,Arrival Airport Code,Departure City,Departure State,Departure Country,Arrival Date,Arrival Time,Arrival City,Arrival State,Arrival Country,Flight Duration,Overnight Flight,# Stops,Nonstop Flight,# Available Tickets,Booking Airline Code,Booking Airline Description,Operating Airline Code,Operating Airline Description,Operating Airline Flight #,Operating Airline Flight # Description,Aircraft Code,Aircraft Description,Cabin Class,Airline Points,Airline Taxes,Currency
2024-02-02,18:00,ORD,MUC,ORD,IL,US,2024-02-03,09:35,MUC,,DE,755,Yes,No,Yes,192,UA,United Airlines,UA,United Airlines,953,UA953,Boeing 787-10 Dreamliner,Boeing 787-10 Dreamliner,Coach,4515,,
2024-02-02,18:00,ORD,MUC,ORD,IL,US,2024-02-03,09:35,MUC,,DE,755,Yes,No,Yes,192,UA,United Airlines,UA,United Airlines,953,UA953,Boeing 787-10 Dreamliner,Boeing 787-10 Dreamliner,PREMIUMPLUS,4515,,
2024-02-02,18:00,ORD,MUC,ORD,IL,US,2024-02-03,09:35,MUC,,DE,755,Yes,No,Yes,192,UA,United Airlines,UA,United Airlines,953,UA953,Boeing 787-10 Dreamliner,Boeing 787-10 Dreamliner,Business,4515,,
2024-02-02,18:00,ORD,MUC,ORD,IL,US,2024-02-03,09:35,MUC,,DE,755,Yes,No,Yes,192,UA,United Airlines,UA,United Airlines,953,UA953,Boeing 787-10 Dreamliner,Boeing 787-10 Dreamliner,,4515,,
2024-02-02,21:15,ORD,LHR,ORD,IL,US,2024-02-03,11:15,LHR,,GB,755,Yes,No,Yes,265,UA,United Airlines,UA,United Airlines,938,UA938,763,Boeing 767-300,Coach,3940,,
2024-02-02,21:15,ORD,LHR,ORD,IL,US,2024-02-03,11:15,LHR,,GB,755,Yes,No,Yes,265,UA,United Airlines,UA,United Airlines,938,UA938,763,Boeing 767-300,PREMIUMPLUS,3940,,
2024-02-02,21:15,ORD,LHR,ORD,IL,US,2024-02-03,11:15,LHR,,GB,755,Yes,No,Yes,265,UA,United Airlines,UA,United Airlines,938,UA938,763,Boeing 767-300,Business,3940,,
2024-02-02,21:15,ORD,LHR,ORD,IL,US,2024-02-03,11:15,LHR,,GB,755,Yes,No,Yes,265,UA,United Airlines,UA,United Airlines,938,UA938,763,Boeing 767-300,,3940,,
2024-02-02,18:05,ORD,BRU,ORD,IL,US,2024-02-03,08:55,BRU,,BE,820,Yes,No,Yes,210,UA,United Airlines,UA,United Airlines,972,UA972,781,Boeing 787-10 Dreamliner,Coach,4146,,
2024-02-02,18:05,ORD,BRU,ORD,IL,US,2024-02-03,08:55,BRU,,BE,820,Yes,No,Yes,210,UA,United Airlines,UA,United Airlines,972,UA972,781,Boeing 787-10 Dreamliner,PREMIUMPLUS,4146,,
2024-02-02,18:05,ORD,BRU,ORD,IL,US,2024-02-03,08:55,BRU,,BE,820,Yes,No,Yes,210,UA,United Airlines,UA,United Airlines,972,UA972,781,Boeing 787-10 Dreamliner,Business,4146,,
2024-02-02,18:05,ORD,BRU,ORD,IL,US,2024-02-03,08:55,BRU,,BE,820,Yes,No,Yes,210,UA,United Airlines,UA,United Airlines,972,UA972,781,Boeing 787-10 Dreamliner,,4146,,
2024-02-02,18:35,ORD,FRA,ORD,IL,US,2024-02-03,09:55,FRA,,DE,825,Yes,No,Yes,170,UA,United Airlines,UA,United Airlines,907,UA907,Boeing 787-10 Dreamliner,Boeing 787-10 Dreamliner,Coach,4330,,
2024-02-02,18:35,ORD,FRA,ORD,IL,US,2024-02-03,09:55,FRA,,DE,825,Yes,No,Yes,170,UA,United Airlines,UA,United Airlines,907,UA907,Boeing 787-10 Dreamliner,Boeing 787-10 Dreamliner,,4330,,
2024-02-02,18:35,ORD,FRA,ORD,IL,US,2024-02-03,09:55,FRA,,DE,825,Yes,No,Yes,170,UA,United Airlines,UA,United Airlines,907,UA907,Boeing 787-10 Dreamliner,Boeing 787-10 Dreamliner,Business,4330,,
2024-02-02,17:55,ORD,LHR,ORD,IL,US,2024-02-03,07:55,LHR,,GB,955,Yes,No,Yes,297,UA,United Airlines,UA,United Airlines,920,UA920,763,Boeing 767-300,Coach,3940,,
2024-02-02,17:55,ORD,LHR,ORD,IL,US,2024-02-03,07:55,LHR,,GB,955,Yes,No,Yes,297,UA,United Airlines,UA,United Airlines,920,UA920,763,Boeing 767-300,PREMIUMPLUS,3940,,
2024-02-02,17:55,ORD,LHR,ORD,IL,US,2024-02-03,07:55,LHR,,GB,955,Yes,No,Yes,297,UA,United Airlines,UA,United Airlines,920,UA920,763,Boeing 767-300,Business,3940,,
2024-02-02,17:55,ORD,LHR,ORD,IL,US,2024-02-03,07:55,LHR,,GB,955,Yes,No,Yes,297,UA,United Airlines,UA,United Airlines,920,UA920,763,Boeing 767-300,,3940,,
2024-02-02,14:30,ORD,FRA,ORD,IL,US,2024-02-03,05:45,FRA,,DE,885,Yes,No,Yes,202,UA,United Airlines,UA,United Airlines,944,UA944,Boeing 787-10 Dreamliner,Boeing 787-10 Dreamliner,Coach,4330,,
2024-02-02,14:30,ORD,FRA,ORD,IL,US,2024-02-03,05:45,FRA,,DE,885,Yes,No,Yes,202,UA,United Airlines,UA,United Airlines,944,UA944,Boeing 787-10 Dreamliner,Boeing 787-10 Dreamliner,PREMIUMPLUS,4330,,
2024-02-02,14:30,ORD,FRA,ORD,IL,US,2024-02-03,05:45,FRA,,DE,885,Yes,No,Yes,202,UA,United Airlines,UA,United Airlines,944,UA944,Boeing 787-10 Dreamliner,Boeing 787-10 Dreamliner,Business,4330,,
2024-02-02,14:30,ORD,FRA,ORD,IL,US,2024-02-03,05:45,FRA,,DE,885,Yes,No,Yes,202,UA,United Airlines,UA,United Airlines,944,UA944,Boeing 787-10 Dreamliner,Boeing 787-10 Dreamliner,,4330,,
2024-02-02,21:15,ORD,LHR,ORD,IL,US,2024-02-03,11:15,LHR,,GB,1025,Yes,No,Yes,265,UA,United Airlines,UA,United Airlines,938,UA938,763,Boeing 767-300,Coach,3940,,
2024-02-02,21:15,ORD,LHR,ORD,IL,US,2024-02-03,11:15,LHR,,GB,1025,Yes,No,Yes,265,UA,United Airlines,UA,United Airlines,938,UA938,763,Boeing 767-300,PREMIUMPLUS,3940,,
2024-02-02,21:15,ORD,LHR,ORD,IL,US,2024-02-03,11:15,LHR,,GB,1025,Yes,No,Yes,265,UA,United Airlines,UA,United Airlines,938,UA938,763,Boeing 767-300,Business,3940,,
