Departure Date,Departure Time,Departure Airport Code,Arrival Airport Code,Departure City,Departure State,Departure Country,Arrival Date,Arrival Time,Arrival City,Arrival State,Arrival Country,Flight Duration,Overnight Flight,# Stops,Nonstop Flight,# Available Tickets,Booking Airline Code,Booking Airline Description,Operating Airline Code,Operating Airline Description,Operating Airline Flight #,Operating Airline Flight # Description,Aircraft Code,Aircraft Description,Cabin Class,Airline Points,Airline Taxes,Currency
2024-02-05,11:35,ORD,IST,ORD,IL,US,2024-02-06,06:55,IST,,TR,980,Yes,No,Yes,116,TK,Turkish Airlines,TK,Turkish Airlines,186,TK186,359,Airbus A350-900,Coach,5457,,
2024-02-05,11:35,ORD,IST,ORD,IL,US,2024-02-06,06:55,IST,,TR,980,Yes,No,Yes,116,TK,Turkish Airlines,TK,Turkish Airlines,186,TK186,359,Airbus A350-900,,5457,,
2024-02-05,18:35,ORD,FRA,ORD,IL,US,2024-02-06,09:55,FRA,,DE,755,Yes,No,Yes,297,UA,United Airlines,UA,United Airlines,907,UA907,781,Boeing 787-10 Dreamliner,Coach,4330,,
2024-02-05,18:35,ORD,FRA,ORD,IL,US,2024-02-06,09:55,FRA,,DE,755,Yes,No,Yes,297,UA,United Airlines,UA,United Airlines,907,UA907,781,Boeing 787-10 Dreamliner,PREMIUMPLUS,4330,,
2024-02-05,18:35,ORD,FRA,ORD,IL,US,2024-02-06,09:55,FRA,,DE,755,Yes,No,Yes,297,UA,United Airlines,UA,United Airlines,907,UA907,781,Boeing 787-10 Dreamliner,Business,4330,,
2024-02-05,18:00,ORD,MUC,ORD,IL,US,2024-02-06,09:35,MUC,,DE,755,Yes,No,Yes,297,UA,United Airlines,UA,United Airlines,953,UA953,781,Boeing 787-10 Dreamliner,Coach,4515,,
2024-02-05,18:00,ORD,MUC,ORD,IL,US,2024-02-06,09:35,MUC,,DE,755,Yes,No,Yes,297,UA,United Airlines,UA,United Airlines,953,UA953,781,Boeing 787-10 Dreamliner,PREMIUMPLUS,4515,,
2024-02-05,18:00,ORD,MUC,ORD,IL,US,2024-02-06,09:35,MUC,,DE,755,Yes,No,Yes,297,UA,United Airlines,UA,United Airlines,953,UA953,781,Boeing 787-10 Dreamliner,Business,4515,,
2024-02-05,18:00,ORD,MUC,ORD,IL,US,2024-02-06,09:35,MUC,,DE,755,Yes,No,Yes,297,UA,United Airlines,UA,United Airlines,953,UA953,781,Boeing 787-10 Dreamliner,,4515,,
2024-02-05,19:55,ORD,AMS,ORD,IL,US,2024-02-06,11:00,AMS,,NL,760,Yes,No,Yes,284,UA,United Airlines,UA,United Airlines,909,UA909,788,Boeing 787-8 Dreamliner,Coach,4106,,
2024-02-05,19:55,ORD,AMS,ORD,IL,US,2024-02-06,11:00,AMS,,NL,760,Yes,No,Yes,284,UA,United Airlines,UA,United Airlines,909,UA909,788,Boeing 787-8 Dreamliner,PREMIUMPLUS,4106,,
2024-02-05,19:55,ORD,AMS,ORD,IL,US,2024-02-06,11:00,AMS,,NL,760,Yes,No,Yes,284,UA,United Airlines,UA,United Airlines,909,UA909,788,Boeing 787-8 Dreamliner,Business,4106,,
2024-02-05,19:55,ORD,AMS,ORD,IL,US,2024-02-06,11:00,AMS,,NL,760,Yes,No,Yes,284,UA,United Airlines,UA,United Airlines,909,UA909,788,Boeing 787-8 Dreamliner,,4106,,
2024-02-05,18:35,ORD,FRA,ORD,IL,US,2024-02-06,09:55,FRA,,DE,815,Yes,No,Yes,297,UA,United Airlines,UA,United Airlines,907,UA907,781,Boeing 787-10 Dreamliner,Coach,4330,,
2024-02-05,18:35,ORD,FRA,ORD,IL,US,2024-02-06,09:55,FRA,,DE,815,Yes,No,Yes,297,UA,United Airlines,UA,United Airlines,907,UA907,781,Boeing 787-10 Dreamliner,PREMIUMPLUS,4330,,
2024-02-05,18:35,ORD,FRA,ORD,IL,US,2024-02-06,09:55,FRA,,DE,815,Yes,No,Yes,297,UA,United Airlines,UA,United Airlines,907,UA907,781,Boeing 787-10 Dreamliner,Business,4330,,
2024-02-05,18:05,ORD,BRU,ORD,IL,US,2024-02-06,08:55,BRU,,BE,820,Yes,No,Yes,297,UA,United Airlines,UA,United Airlines,972,UA972,781,Boeing 787-10 Dreamliner,Coach,4146,,
2024-02-05,18:05,ORD,BRU,ORD,IL,US,2024-02-06,08:55,BRU,,BE,820,Yes,No,Yes,297,UA,United Airlines,UA,United Airlines,972,UA972,781,Boeing 787-10 Dreamliner,PREMIUMPLUS,4146,,
2024-02-05,18:05,ORD,BRU,ORD,IL,US,2024-02-06,08:55,BRU,,BE,820,Yes,No,Yes,297,UA,United Airlines,UA,United Airlines,972,UA972,781,Boeing 787-10 Dreamliner,Business,4146,,
2024-02-05,18:05,ORD,BRU,ORD,IL,US,2024-02-06,08:55,BRU,,BE,820,Yes,No,Yes,297,UA,United Airlines,UA,United Airlines,972,UA972,781,Boeing 787-10 Dreamliner,,4146,,
2024-02-05,14:30,ORD,FRA,ORD,IL,US,2024-02-06,05:45,FRA,,DE,885,Yes,No,Yes,297,UA,United Airlines,UA,United Airlines,944,UA944,781,Boeing 787-10 Dreamliner,Coach,4330,,
2024-02-05,14:30,ORD,FRA,ORD,IL,US,2024-02-06,05:45,FRA,,DE,885,Yes,No,Yes,297,UA,United Airlines,UA,United Airlines,944,UA944,781,Boeing 787-10 Dreamliner,PREMIUMPLUS,4330,,
2024-02-05,14:30,ORD,FRA,ORD,IL,US,2024-02-06,05:45,FRA,,DE,885,Yes,No,Yes,297,UA,United Airlines,UA,United Airlines,944,UA944,781,Boeing 787-10 Dreamliner,Business,4330,,
2024-02-05,17:55,ORD,LHR,ORD,IL,US,2024-02-06,07:55,LHR,,GB,875,Yes,No,Yes,291,UA,United Airlines,UA,United Airlines,920,UA920,763,Boeing 767-300,Coach,3940,,
2024-02-05,17:55,ORD,LHR,ORD,IL,US,2024-02-06,07:55,LHR,,GB,875,Yes,No,Yes,291,UA,United Airlines,UA,United Airlines,920,UA920,763,Boeing 767-300,PREMIUMPLUS,3940,,
2024-02-05,17:55,ORD,LHR,ORD,IL,US,2024-02-06,07:55,LHR,,GB,875,Yes,No,Yes,291,UA,United Airlines,UA,United Airlines,920,UA920,763,Boeing 767-300,Business,3940,,
2024-02-05,17:55,ORD,LHR,ORD,IL,US,2024-02-06,07:55,LHR,,GB,875,Yes,No,Yes,291,UA,United Airlines,UA,United Airlines,920,UA920,763,Boeing 767-300,,3940,,
2024-02-05,11:35,ORD,IST,ORD,IL,US,2024-02-06,06:55,IST,,TR,1300,Yes,No,Yes,116,TK,Turkish Airlines,TK,Turkish Airlines,186,TK186,359,Airbus A350-900,Coach,5457,,
2024-02-05,11:35,ORD,IST,ORD,IL,US,2024-02-06,06:55,IST,,TR,1300,Yes,No,Yes,116,TK,Turkish Airlines,TK,Turkish Airlines,186,TK186,359,Airbus A350-900,,5457,,
2024-02-05,14:30,ORD,FRA,ORD,IL,US,2024-02-06,05:45,FRA,,DE,1000,Yes,No,Yes,297,UA,United Airlines,UA,United Airlines,944,UA944,781,Boeing 787-10 Dreamliner,Coach,4330,,
2024-02-05,14:30,ORD,FRA,ORD,IL,US,2024-02-06,05:45,FRA,,DE,1000,Yes,No,Yes,297,UA,United Airlines,UA,United Airlines,944,UA944,781,Boeing 787-10 Dreamliner,PREMIUMPLUS,4330,,
2024-02-05,14:30,ORD,FRA,ORD,IL,US,2024-02-06,05:45,FRA,,DE,1000,Yes,No,Yes,297,UA,United Airlines,UA,United Airlines,944,UA944,781,Boeing 787-10 Dreamliner,Business,4330,,
2024-02-05,16:05,ORD,LHR,ORD,IL,US,2024-02-06,05:55,LHR,,GB,985,Yes,No,Yes,297,UA,United Airlines,UA,United Airlines,929,UA929,763,Boeing 767-300,Coach,3940,,
2024-02-05,16:05,ORD,LHR,ORD,IL,US,2024-02-06,05:55,LHR,,GB,985,Yes,No,Yes,297,UA,United Airlines,UA,United Airlines,929,UA929,763,Boeing 767-300,PREMIUMPLUS,3940,,
2024-02-05,16:05,ORD,LHR,ORD,IL,US,2024-02-06,05:55,LHR,,GB,985,Yes,No,Yes,297,UA,United Airlines,UA,United Airlines,929,UA929,763,Boeing 767-300,Business,3940,,
2024-02-05,16:05,ORD,LHR,ORD,IL,US,2024-02-06,05:55,LHR,,GB,985,Yes,No,Yes,297,UA,United Airlines,UA,United Airlines,929,UA929,763,Boeing 767-300,,3940,,
2024-02-05,14:30,ORD,FRA,ORD,IL,US,2024-02-06,05:45,FRA,,DE,1060,Yes,No,Yes,297,UA,United Airlines,UA,United Airlines,944,UA944,781,Boeing 787-10 Dreamliner,Coach,4330,,
