Departure Date,Departure Time,Departure Airport Code,Arrival Airport Code,Departure City,Departure State,Departure Country,Arrival Date,Arrival Time,Arrival City,Arrival State,Arrival Country,Flight Duration,Overnight Flight,# Stops,Nonstop Flight,# Available Tickets,Booking Airline Code,Booking Airline Description,Operating Airline Code,Operating Airline Description,Operating Airline Flight #,Operating Airline Flight # Description,Aircraft Code,Aircraft Description,Cabin Class,Airline Points,Airline Taxes,Currency
2024-02-06,18:30,ORD,CDG,ORD,IL,US,2024-02-07,09:55,CDG,,FR,815,Yes,No,Yes,288,UA,United Airlines,UA,United Airlines,987,UA987,763,Boeing 767-300,Coach,4139,,
2024-02-06,18:30,ORD,CDG,ORD,IL,US,2024-02-07,09:55,CDG,,FR,815,Yes,No,Yes,288,UA,United Airlines,UA,United Airlines,987,UA987,763,Boeing 767-300,PREMIUMPLUS,4139,,
2024-02-06,18:30,ORD,CDG,ORD,IL,US,2024-02-07,09:55,CDG,,FR,815,Yes,No,Yes,288,UA,United Airlines,UA,United Airlines,987,UA987,763,Boeing 767-300,Business,4139,,
2024-02-06,18:30,ORD,CDG,ORD,IL,US,2024-02-07,09:55,CDG,,FR,815,Yes,No,Yes,288,UA,United Airlines,UA,United Airlines,987,UA987,763,Boeing 767-300,,4139,,
2024-02-06,18:00,ORD,MUC,ORD,IL,US,2024-02-07,09:35,MUC,,DE,755,Yes,No,Yes,295,UA,United Airlines,UA,United Airlines,953,UA953,781,Boeing 787-10 Dreamliner,Coach,4515,,
2024-02-06,18:00,ORD,MUC,ORD,IL,US,2024-02-07,09:35,MUC,,DE,755,Yes,No,Yes,295,UA,United Airlines,UA,United Airlines,953,UA953,781,Boeing 787-10 Dreamliner,PREMIUMPLUS,4515,,
2024-02-06,18:00,ORD,MUC,ORD,IL,US,2024-02-07,09:35,MUC,,DE,755,Yes,No,Yes,295,UA,United Airlines,UA,United Airlines,953,UA953,781,Boeing 787-10 Dreamliner,Business,4515,,
2024-02-06,20:05,ORD,IST,ORD,IL,US,2024-02-07,15:40,IST,,TR,1090,Yes,No,Yes,124,TK,Turkish Airlines,TK,Turkish Airlines,6,TK6,77W,Boeing 777-300ER,Coach,5457,,
2024-02-06,20:05,ORD,IST,ORD,IL,US,2024-02-07,15:40,IST,,TR,1090,Yes,No,Yes,124,TK,Turkish Airlines,TK,Turkish Airlines,6,TK6,77W,Boeing 777-300ER,,5457,,
2024-02-06,20:05,ORD,IST,ORD,IL,US,2024-02-07,15:40,IST,,TR,1090,Yes,No,Yes,124,TK,Turkish Airlines,TK,Turkish Airlines,6,TK6,77W,Boeing 777-300ER,Business,5457,,
2024-02-06,18:35,ORD,FRA,ORD,IL,US,2024-02-07,09:55,FRA,,DE,825,Yes,No,Yes,297,UA,United Airlines,UA,United Airlines,907,UA907,781,Boeing 787-10 Dreamliner,Coach,4330,,
2024-02-06,18:35,ORD,FRA,ORD,IL,US,2024-02-07,09:55,FRA,,DE,825,Yes,No,Yes,297,UA,United Airlines,UA,United Airlines,907,UA907,781,Boeing 787-10 Dreamliner,PREMIUMPLUS,4330,,
2024-02-06,18:35,ORD,FRA,ORD,IL,US,2024-02-07,09:55,FRA,,DE,825,Yes,No,Yes,297,UA,United Airlines,UA,United Airlines,907,UA907,781,Boeing 787-10 Dreamliner,Business,4330,,
2024-02-06,18:05,ORD,BRU,ORD,IL,US,2024-02-07,08:55,BRU,,BE,820,Yes,No,Yes,297,UA,United Airlines,UA,United Airlines,972,UA972,781,Boeing 787-10 Dreamliner,Coach,4146,,
2024-02-06,18:05,ORD,BRU,ORD,IL,US,2024-02-07,08:55,BRU,,BE,820,Yes,No,Yes,297,UA,United Airlines,UA,United Airlines,972,UA972,781,Boeing 787-10 Dreamliner,PREMIUMPLUS,4146,,
2024-02-06,18:05,ORD,BRU,ORD,IL,US,2024-02-07,08:55,BRU,,BE,820,Yes,No,Yes,297,UA,United Airlines,UA,United Airlines,972,UA972,781,Boeing 787-10 Dreamliner,Business,4146,,
2024-02-06,18:05,ORD,BRU,ORD,IL,US,2024-02-07,08:55,BRU,,BE,820,Yes,No,Yes,297,UA,United Airlines,UA,United Airlines,972,UA972,781,Boeing 787-10 Dreamliner,,4146,,
2024-02-06,18:15,ORD,AMS,ORD,IL,US,2024-02-07,09:20,AMS,,NL,850,Yes,No,Yes,297,UA,United Airlines,UA,United Airlines,909,UA909,788,Boeing 787-8 Dreamliner,Coach,4106,,
2024-02-06,18:15,ORD,AMS,ORD,IL,US,2024-02-07,09:20,AMS,,NL,850,Yes,No,Yes,297,UA,United Airlines,UA,United Airlines,909,UA909,788,Boeing 787-8 Dreamliner,PREMIUMPLUS,4106,,
2024-02-06,18:15,ORD,AMS,ORD,IL,US,2024-02-07,09:20,AMS,,NL,850,Yes,No,Yes,297,UA,United Airlines,UA,United Airlines,909,UA909,788,Boeing 787-8 Dreamliner,Business,4106,,
2024-02-06,18:15,ORD,AMS,ORD,IL,US,2024-02-07,09:20,AMS,,NL,850,Yes,No,Yes,297,UA,United Airlines,UA,United Airlines,909,UA909,788,Boeing 787-8 Dreamliner,,4106,,
2024-02-06,14:30,ORD,FRA,ORD,IL,US,2024-02-07,05:45,FRA,,DE,880,Yes,No,Yes,297,UA,United Airlines,UA,United Airlines,944,UA944,781,Boeing 787-10 Dreamliner,Coach,4330,,
2024-02-06,14:30,ORD,FRA,ORD,IL,US,2024-02-07,05:45,FRA,,DE,880,Yes,No,Yes,297,UA,United Airlines,UA,United Airlines,944,UA944,781,Boeing 787-10 Dreamliner,PREMIUMPLUS,4330,,
2024-02-06,14:30,ORD,FRA,ORD,IL,US,2024-02-07,05:45,FRA,,DE,880,Yes,No,Yes,297,UA,United Airlines,UA,United Airlines,944,UA944,781,Boeing 787-10 Dreamliner,Business,4330,,
2024-02-06,14:30,ORD,FRA,ORD,IL,US,2024-02-07,05:45,FRA,,DE,880,Yes,No,Yes,297,UA,United Airlines,UA,United Airlines,944,UA944,781,Boeing 787-10 Dreamliner,,4330,,
2024-02-06,14:30,ORD,FRA,ORD,IL,US,2024-02-07,05:45,FRA,,DE,1070,Yes,No,Yes,297,UA,United Airlines,UA,United Airlines,944,UA944,781,Boeing 787-10 Dreamliner,Coach,4330,,
2024-02-06,14:30,ORD,FRA,ORD,IL,US,2024-02-07,05:45,FRA,,DE,1070,Yes,No,Yes,297,UA,United Airlines,UA,United Airlines,944,UA944,781,Boeing 787-10 Dreamliner,PREMIUMPLUS,4330,,
2024-02-06,14:30,ORD,FRA,ORD,IL,US,2024-02-07,05:45,FRA,,DE,1070,Yes,No,Yes,297,UA,United Airlines,UA,United Airlines,944,UA944,781,Boeing 787-10 Dreamliner,Business,4330,,
2024-02-06,19:05,ORD,ZRH,ORD,IL,US,2024-02-07,10:45,ZRH,,CH,815,Yes,No,Yes,176,LX,SWISS International Airlines,LX,SWISS International Airlines,9,LX9,333,Airbus A330-300,Coach,4429,,
2024-02-06,19:05,ORD,ZRH,ORD,IL,US,2024-02-07,10:45,ZRH,,CH,815,Yes,No,Yes,176,LX,SWISS International Airlines,LX,SWISS International Airlines,9,LX9,333,Airbus A330-300,,4429,,
2024-02-06,19:05,ORD,ZRH,ORD,IL,US,2024-02-07,10:45,ZRH,,CH,815,Yes,No,Yes,176,LX,SWISS International Airlines,LX,SWISS International Airlines,9,LX9,333,Airbus A330-300,Business,4429,,
2024-02-06,18:00,ORD,MUC,ORD,IL,US,2024-02-07,09:35,MUC,,DE,1370,Yes,No,Yes,295,UA,United Airlines,UA,United Airlines,953,UA953,781,Boeing 787-10 Dreamliner,Coach,4515,,
2024-02-06,18:00,ORD,MUC,ORD,IL,US,2024-02-07,09:35,MUC,,DE,1370,Yes,No,Yes,295,UA,United Airlines,UA,United Airlines,953,UA953,781,Boeing 787-10 Dreamliner,PREMIUMPLUS,4515,,
2024-02-06,18:00,ORD,MUC,ORD,IL,US,2024-02-07,09:35,MUC,,DE,1370,Yes,No,Yes,295,UA,United Airlines,UA,United Airlines,953,UA953,781,Boeing 787-10 Dreamliner,Business,4515,,
2024-02-06,16:20,ORD,VIE,ORD,IL,US,2024-02-07,08:10,VIE,,AT,740,Yes,No,Yes,189,OS,Austrian Airlines,OS,Austrian Airlines,66,OS66,772,Boeing 777-200,Coach,4699,,
2024-02-06,16:20,ORD,VIE,ORD,IL,US,2024-02-07,08:10,VIE,,AT,740,Yes,No,Yes,189,OS,Austrian Airlines,OS,Austrian Airlines,66,OS66,772,Boeing 777-200,,4699,,
2024-02-06,16:20,ORD,VIE,ORD,IL,US,2024-02-07,08:10,VIE,,AT,740,Yes,No,Yes,189,OS,Austrian Airlines,OS,Austrian Airlines,66,OS66,772,Boeing 777-200,Business,4699,,
2024-02-06,16:10,ORD,FRA,ORD,IL,US,2024-02-07,07:25,FRA,,DE,780,Yes,No,Yes,204,LH,Lufthansa,LH,Lufthansa,431,LH431,744,Boeing 747-400,Coach,4330,,
2024-02-06,16:10,ORD,FRA,ORD,IL,US,2024-02-07,07:25,FRA,,DE,780,Yes,No,Yes,204,LH,Lufthansa,LH,Lufthansa,431,LH431,744,Boeing 747-400,,4330,,
