Departure Date,Departure Time,Departure Airport Code,Arrival Airport Code,Departure City,Departure State,Departure Country,Arrival Date,Arrival Time,Arrival City,Arrival State,Arrival Country,Flight Duration,Overnight Flight,# Stops,Nonstop Flight,# Available Tickets,Booking Airline Code,Booking Airline Description,Operating Airline Code,Operating Airline Description,Operating Airline Flight #,Operating Airline Flight # Description,Aircraft Code,Aircraft Description,Cabin Class,Airline Points,Airline Taxes,Currency
2024-02-04,21:15,ORD,LHR,ORD,IL,US,2024-02-05,11:15,LHR,,GB,755,Yes,No,Yes,166,UA,United Airlines,UA,United Airlines,938,UA938,763,Boeing 767-300,Coach,3940,,
2024-02-04,21:15,ORD,LHR,ORD,IL,US,2024-02-05,11:15,LHR,,GB,755,Yes,No,Yes,166,UA,United Airlines,UA,United Airlines,938,UA938,763,Boeing 767-300,PREMIUMPLUS,3940,,
2024-02-04,21:15,ORD,LHR,ORD,IL,US,2024-02-05,11:15,LHR,,GB,755,Yes,No,Yes,166,UA,United Airlines,UA,United Airlines,938,UA938,763,Boeing 767-300,Business,3940,,
2024-02-04,21:15,ORD,LHR,ORD,IL,US,2024-02-05,11:15,LHR,,GB,755,Yes,No,Yes,166,UA,United Airlines,UA,United Airlines,938,UA938,763,Boeing 767-300,,3940,,
2024-02-04,17:55,ORD,LHR,ORD,IL,US,2024-02-05,07:55,LHR,,GB,955,Yes,No,Yes,200,UA,United Airlines,UA,United Airlines,920,UA920,763,Boeing 767-300,Coach,3940,,
2024-02-04,17:55,ORD,LHR,ORD,IL,US,2024-02-05,07:55,LHR,,GB,955,Yes,No,Yes,200,UA,United Airlines,UA,United Airlines,920,UA920,763,Boeing 767-300,PREMIUMPLUS,3940,,
2024-02-04,17:55,ORD,LHR,ORD,IL,US,2024-02-05,07:55,LHR,,GB,955,Yes,No,Yes,200,UA,United Airlines,UA,United Airlines,920,UA920,763,Boeing 767-300,Business,3940,,
2024-02-04,17:55,ORD,LHR,ORD,IL,US,2024-02-05,07:55,LHR,,GB,955,Yes,No,Yes,200,UA,United Airlines,UA,United Airlines,920,UA920,763,Boeing 767-300,,3940,,
2024-02-04,16:05,ORD,LHR,ORD,IL,US,2024-02-05,05:55,LHR,,GB,1065,Yes,No,Yes,234,UA,United Airlines,UA,United Airlines,929,UA929,763,Boeing 767-300,Coach,3940,,
2024-02-04,16:05,ORD,LHR,ORD,IL,US,2024-02-05,05:55,LHR,,GB,1065,Yes,No,Yes,234,UA,United Airlines,UA,United Airlines,929,UA929,763,Boeing 767-300,PREMIUMPLUS,3940,,
2024-02-04,16:05,ORD,LHR,ORD,IL,US,2024-02-05,05:55,LHR,,GB,1065,Yes,No,Yes,234,UA,United Airlines,UA,United Airlines,929,UA929,763,Boeing 767-300,Business,3940,,
2024-02-04,16:05,ORD,LHR,ORD,IL,US,2024-02-05,05:55,LHR,,GB,1065,Yes,No,Yes,234,UA,United Airlines,UA,United Airlines,929,UA929,763,Boeing 767-300,,3940,,
2024-02-04,21:15,ORD,LHR,ORD,IL,US,2024-02-05,11:15,LHR,,GB,1355,Yes,No,Yes,166,UA,United Airlines,UA,United Airlines,938,UA938,763,Boeing 767-300,Coach,3940,,
2024-02-04,21:15,ORD,LHR,ORD,IL,US,2024-02-05,11:15,LHR,,GB,1355,Yes,No,Yes,166,UA,United Airlines,UA,United Airlines,938,UA938,763,Boeing 767-300,PREMIUMPLUS,3940,,
2024-02-04,21:15,ORD,LHR,ORD,IL,US,2024-02-05,11:15,LHR,,GB,1355,Yes,No,Yes,166,UA,United Airlines,UA,United Airlines,938,UA938,763,Boeing 767-300,Business,3940,,
2024-02-04,21:15,ORD,LHR,ORD,IL,US,2024-02-05,11:15,LHR,,GB,1355,Yes,No,Yes,166,UA,United Airlines,UA,United Airlines,938,UA938,763,Boeing 767-300,,3940,,
2024-02-04,16:10,ORD,FRA,ORD,IL,US,2024-02-05,07:25,FRA,,DE,800,Yes,No,Yes,177,LH,Lufthansa,LH,Lufthansa,431,LH431,744,Boeing 747-400,Coach,4330,,
2024-02-04,16:10,ORD,FRA,ORD,IL,US,2024-02-05,07:25,FRA,,DE,800,Yes,No,Yes,177,LH,Lufthansa,LH,Lufthansa,431,LH431,744,Boeing 747-400,,4330,,
2024-02-04,16:10,ORD,FRA,ORD,IL,US,2024-02-05,07:25,FRA,,DE,800,Yes,No,Yes,177,LH,Lufthansa,LH,Lufthansa,431,LH431,744,Boeing 747-400,Business,4330,,
2024-02-04,19:05,ORD,ZRH,ORD,IL,US,2024-02-05,10:45,ZRH,,CH,1060,Yes,No,Yes,160,LX,SWISS International Airlines,LX,SWISS International Airlines,9,LX9,333,Airbus A330-300,Coach,4429,,
2024-02-04,19:05,ORD,ZRH,ORD,IL,US,2024-02-05,10:45,ZRH,,CH,1060,Yes,No,Yes,160,LX,SWISS International Airlines,LX,SWISS International Airlines,9,LX9,333,Airbus A330-300,,4429,,
2024-02-04,16:05,ORD,LHR,ORD,IL,US,2024-02-05,05:55,LHR,,GB,980,Yes,No,Yes,234,UA,United Airlines,UA,United Airlines,929,UA929,763,Boeing 767-300,Coach,3940,,
2024-02-04,16:05,ORD,LHR,ORD,IL,US,2024-02-05,05:55,LHR,,GB,980,Yes,No,Yes,234,UA,United Airlines,UA,United Airlines,929,UA929,763,Boeing 767-300,PREMIUMPLUS,3940,,
2024-02-04,16:05,ORD,LHR,ORD,IL,US,2024-02-05,05:55,LHR,,GB,980,Yes,No,Yes,234,UA,United Airlines,UA,United Airlines,929,UA929,763,Boeing 767-300,Business,3940,,
2024-02-04,16:05,ORD,LHR,ORD,IL,US,2024-02-05,05:55,LHR,,GB,980,Yes,No,Yes,234,UA,United Airlines,UA,United Airlines,929,UA929,763,Boeing 767-300,,3940,,
2024-02-04,18:35,ORD,FRA,ORD,IL,US,2024-02-05,09:55,FRA,,DE,1135,Yes,No,Yes,166,UA,United Airlines,UA,United Airlines,907,UA907,781,Boeing 787-10 Dreamliner,Coach,4330,,
2024-02-04,18:35,ORD,FRA,ORD,IL,US,2024-02-05,09:55,FRA,,DE,1135,Yes,No,Yes,166,UA,United Airlines,UA,United Airlines,907,UA907,781,Boeing 787-10 Dreamliner,PREMIUMPLUS,4330,,
