Departure Date,Departure Time,Departure Airport Code,Arrival Airport Code,Departure City,Departure State,Departure Country,Arrival Date,Arrival Time,Arrival City,Arrival State,Arrival Country,Flight Duration,Overnight Flight,# Stops,Nonstop Flight,# Available Tickets,Booking Airline Code,Booking Airline Description,Operating Airline Code,Operating Airline Description,Operating Airline Flight #,Operating Airline Flight # Description,Aircraft Code,Aircraft Description,Cabin Class,Airline Points,Airline Taxes,Currency
2024-02-07,11:35,ORD,IST,ORD,IL,US,2024-02-08,06:55,IST,,TR,980,Yes,No,Yes,124,TK,Turkish Airlines,TK,Turkish Airlines,186,TK186,789,Boeing 787-9 Dreamliner,Coach,5457,,
2024-02-07,11:35,ORD,IST,ORD,IL,US,2024-02-08,06:55,IST,,TR,980,Yes,No,Yes,124,TK,Turkish Airlines,TK,Turkish Airlines,186,TK186,789,Boeing 787-9 Dreamliner,,5457,,
2024-02-07,11:35,ORD,IST,ORD,IL,US,2024-02-08,06:55,IST,,TR,1300,Yes,No,Yes,124,TK,Turkish Airlines,TK,Turkish Airlines,186,TK186,789,Boeing 787-9 Dreamliner,Coach,5457,,
2024-02-07,11:35,ORD,IST,ORD,IL,US,2024-02-08,06:55,IST,,TR,1300,Yes,No,Yes,124,TK,Turkish Airlines,TK,Turkish Airlines,186,TK186,789,Boeing 787-9 Dreamliner,,5457,,
2024-02-07,19:05,ORD,ZRH,ORD,IL,US,2024-02-08,10:45,ZRH,,CH,825,Yes,No,Yes,178,LX,SWISS International Airlines,LX,SWISS International Airlines,9,LX9,333,Airbus A330-300,Coach,4429,,
2024-02-07,19:05,ORD,ZRH,ORD,IL,US,2024-02-08,10:45,ZRH,,CH,825,Yes,No,Yes,178,LX,SWISS International Airlines,LX,SWISS International Airlines,9,LX9,333,Airbus A330-300,,4429,,
2024-02-07,19:05,ORD,ZRH,ORD,IL,US,2024-02-08,10:45,ZRH,,CH,1095,Yes,No,Yes,177,LX,SWISS International Airlines,LX,SWISS International Airlines,9,LX9,333,Airbus A330-300,Coach,4429,,
2024-02-07,19:05,ORD,ZRH,ORD,IL,US,2024-02-08,10:45,ZRH,,CH,1095,Yes,No,Yes,177,LX,SWISS International Airlines,LX,SWISS International Airlines,9,LX9,333,Airbus A330-300,,4429,,
2024-02-07,14:30,ORD,FRA,ORD,IL,US,2024-02-08,05:45,FRA,,DE,850,Yes,No,Yes,269,UA,United Airlines,UA,United Airlines,944,UA944,781,Boeing 787-10 Dreamliner,Coach,4330,,
2024-02-07,14:30,ORD,FRA,ORD,IL,US,2024-02-08,05:45,FRA,,DE,850,Yes,No,Yes,269,UA,United Airlines,UA,United Airlines,944,UA944,781,Boeing 787-10 Dreamliner,PREMIUMPLUS,4330,,
2024-02-07,14:30,ORD,FRA,ORD,IL,US,2024-02-08,05:45,FRA,,DE,850,Yes,No,Yes,269,UA,United Airlines,UA,United Airlines,944,UA944,781,Boeing 787-10 Dreamliner,Business,4330,,
2024-02-07,14:30,ORD,FRA,ORD,IL,US,2024-02-08,05:45,FRA,,DE,905,Yes,No,Yes,269,UA,United Airlines,UA,United Airlines,944,UA944,781,Boeing 787-10 Dreamliner,Coach,4330,,
2024-02-07,14:30,ORD,FRA,ORD,IL,US,2024-02-08,05:45,FRA,,DE,905,Yes,No,Yes,269,UA,United Airlines,UA,United Airlines,944,UA944,781,Boeing 787-10 Dreamliner,PREMIUMPLUS,4330,,
2024-02-07,14:30,ORD,FRA,ORD,IL,US,2024-02-08,05:45,FRA,,DE,905,Yes,No,Yes,269,UA,United Airlines,UA,United Airlines,944,UA944,781,Boeing 787-10 Dreamliner,Business,4330,,
2024-02-07,14:30,ORD,FRA,ORD,IL,US,2024-02-08,05:45,FRA,,DE,905,Yes,No,Yes,269,UA,United Airlines,UA,United Airlines,944,UA944,781,Boeing 787-10 Dreamliner,,4330,,
2024-02-07,18:35,ORD,FRA,ORD,IL,US,2024-02-08,09:55,FRA,,DE,1125,Yes,No,Yes,297,UA,United Airlines,UA,United Airlines,907,UA907,781,Boeing 787-10 Dreamliner,Coach,4330,,
2024-02-07,18:35,ORD,FRA,ORD,IL,US,2024-02-08,09:55,FRA,,DE,1125,Yes,No,Yes,297,UA,United Airlines,UA,United Airlines,907,UA907,781,Boeing 787-10 Dreamliner,PREMIUMPLUS,4330,,
2024-02-07,18:35,ORD,FRA,ORD,IL,US,2024-02-08,09:55,FRA,,DE,1125,Yes,No,Yes,297,UA,United Airlines,UA,United Airlines,907,UA907,781,Boeing 787-10 Dreamliner,Business,4330,,
2024-02-07,18:15,ORD,AMS,ORD,IL,US,2024-02-08,09:20,AMS,,NL,1145,Yes,No,Yes,276,UA,United Airlines,UA,United Airlines,909,UA909,788,Boeing 787-8 Dreamliner,Coach,4106,,
2024-02-07,18:15,ORD,AMS,ORD,IL,US,2024-02-08,09:20,AMS,,NL,1145,Yes,No,Yes,276,UA,United Airlines,UA,United Airlines,909,UA909,788,Boeing 787-8 Dreamliner,PREMIUMPLUS,4106,,
2024-02-07,18:15,ORD,AMS,ORD,IL,US,2024-02-08,09:20,AMS,,NL,1145,Yes,No,Yes,276,UA,United Airlines,UA,United Airlines,909,UA909,788,Boeing 787-8 Dreamliner,Business,4106,,
2024-02-07,18:05,ORD,BRU,ORD,IL,US,2024-02-08,08:55,BRU,,BE,1155,Yes,No,Yes,255,UA,United Airlines,UA,United Airlines,972,UA972,781,Boeing 787-10 Dreamliner,Coach,4146,,
2024-02-07,18:05,ORD,BRU,ORD,IL,US,2024-02-08,08:55,BRU,,BE,1155,Yes,No,Yes,255,UA,United Airlines,UA,United Airlines,972,UA972,781,Boeing 787-10 Dreamliner,PREMIUMPLUS,4146,,
2024-02-07,18:05,ORD,BRU,ORD,IL,US,2024-02-08,08:55,BRU,,BE,1155,Yes,No,Yes,255,UA,United Airlines,UA,United Airlines,972,UA972,781,Boeing 787-10 Dreamliner,Business,4146,,
2024-02-07,18:00,ORD,MUC,ORD,IL,US,2024-02-08,09:35,MUC,,DE,1160,Yes,No,Yes,241,UA,United Airlines,UA,United Airlines,953,UA953,781,Boeing 787-10 Dreamliner,Coach,4515,,
2024-02-07,18:00,ORD,MUC,ORD,IL,US,2024-02-08,09:35,MUC,,DE,1160,Yes,No,Yes,241,UA,United Airlines,UA,United Airlines,953,UA953,781,Boeing 787-10 Dreamliner,PREMIUMPLUS,4515,,
2024-02-07,18:00,ORD,MUC,ORD,IL,US,2024-02-08,09:35,MUC,,DE,1160,Yes,No,Yes,241,UA,United Airlines,UA,United Airlines,953,UA953,781,Boeing 787-10 Dreamliner,Business,4515,,
