Departure Date,Departure Time,Departure Airport Code,Arrival Airport Code,Departure City,Departure State,Departure Country,Arrival Date,Arrival Time,Arrival City,Arrival State,Arrival Country,Flight Duration,Overnight Flight,# Stops,Nonstop Flight,# Available Tickets,Booking Airline Code,Booking Airline Description,Operating Airline Code,Operating Airline Description,Operating Airline Flight #,Operating Airline Flight # Description,Aircraft Code,Aircraft Description,Cabin Class,Airline Points,Airline Taxes,Currency
2024-02-01,18:05,ORD,BRU,ORD,IL,US,2024-02-02,08:55,BRU,,BE,820,Yes,No,Yes,288,UA,United Airlines,UA,United Airlines,972,UA972,781,Boeing 787-10 Dreamliner,Coach,4146,,
2024-02-01,18:05,ORD,BRU,ORD,IL,US,2024-02-02,08:55,BRU,,BE,820,Yes,No,Yes,288,UA,United Airlines,UA,United Airlines,972,UA972,781,Boeing 787-10 Dreamliner,PREMIUMPLUS,4146,,
2024-02-01,18:05,ORD,BRU,ORD,IL,US,2024-02-02,08:55,BRU,,BE,820,Yes,No,Yes,288,UA,United Airlines,UA,United Airlines,972,UA972,781,Boeing 787-10 Dreamliner,Business,4146,,
2024-02-01,18:05,ORD,BRU,ORD,IL,US,2024-02-02,08:55,BRU,,BE,820,Yes,No,Yes,288,UA,United Airlines,UA,United Airlines,972,UA972,781,Boeing 787-10 Dreamliner,,4146,,
2024-02-01,18:35,ORD,FRA,ORD,IL,US,2024-02-02,09:55,FRA,,DE,825,Yes,No,Yes,155,UA,United Airlines,UA,United Airlines,907,UA907,Boeing 787-10 Dreamliner,Boeing 787-10 Dreamliner,Coach,4330,,
2024-02-01,18:35,ORD,FRA,ORD,IL,US,2024-02-02,09:55,FRA,,DE,825,Yes,No,Yes,155,UA,United Airlines,UA,United Airlines,907,UA907,Boeing 787-10 Dreamliner,Boeing 787-10 Dreamliner,PREMIUMPLUS,4330,,
2024-02-01,18:35,ORD,FRA,ORD,IL,US,2024-02-02,09:55,FRA,,DE,825,Yes,No,Yes,155,UA,United Airlines,UA,United Airlines,907,UA907,Boeing 787-10 Dreamliner,Boeing 787-10 Dreamliner,,4330,,
2024-02-01,18:15,ORD,AMS,ORD,IL,US,2024-02-02,09:20,AMS,,NL,1145,Yes,No,Yes,237,UA,United Airlines,UA,United Airlines,909,UA909,788,Boeing 787-8 Dreamliner,Coach,4106,,
2024-02-01,18:15,ORD,AMS,ORD,IL,US,2024-02-02,09:20,AMS,,NL,1145,Yes,No,Yes,237,UA,United Airlines,UA,United Airlines,909,UA909,788,Boeing 787-8 Dreamliner,PREMIUMPLUS,4106,,
2024-02-01,18:15,ORD,AMS,ORD,IL,US,2024-02-02,09:20,AMS,,NL,1145,Yes,No,Yes,237,UA,United Airlines,UA,United Airlines,909,UA909,788,Boeing 787-8 Dreamliner,Business,4106,,
2024-02-01,18:15,ORD,AMS,ORD,IL,US,2024-02-02,09:20,AMS,,NL,1145,Yes,No,Yes,237,UA,United Airlines,UA,United Airlines,909,UA909,788,Boeing 787-8 Dreamliner,,4106,,
2024-02-01,18:00,ORD,MUC,ORD,IL,US,2024-02-02,09:35,MUC,,DE,1195,Yes,No,Yes,159,UA,United Airlines,UA,United Airlines,953,UA953,Boeing 787-10 Dreamliner,Boeing 787-10 Dreamliner,Coach,4515,,
2024-02-01,18:00,ORD,MUC,ORD,IL,US,2024-02-02,09:35,MUC,,DE,1195,Yes,No,Yes,159,UA,United Airlines,UA,United Airlines,953,UA953,Boeing 787-10 Dreamliner,Boeing 787-10 Dreamliner,PREMIUMPLUS,4515,,
2024-02-01,18:00,ORD,MUC,ORD,IL,US,2024-02-02,09:35,MUC,,DE,1195,Yes,No,Yes,159,UA,United Airlines,UA,United Airlines,953,UA953,Boeing 787-10 Dreamliner,Boeing 787-10 Dreamliner,Business,4515,,
2024-02-01,18:00,ORD,MUC,ORD,IL,US,2024-02-02,09:35,MUC,,DE,1195,Yes,No,Yes,159,UA,United Airlines,UA,United Airlines,953,UA953,Boeing 787-10 Dreamliner,Boeing 787-10 Dreamliner,,4515,,
2024-02-01,14:30,ORD,FRA,ORD,IL,US,2024-02-02,05:45,FRA,,DE,1070,Yes,No,Yes,153,UA,United Airlines,UA,United Airlines,944,UA944,Boeing 787-10 Dreamliner,Boeing 787-10 Dreamliner,Coach,4330,,
2024-02-01,14:30,ORD,FRA,ORD,IL,US,2024-02-02,05:45,FRA,,DE,1070,Yes,No,Yes,153,UA,United Airlines,UA,United Airlines,944,UA944,Boeing 787-10 Dreamliner,Boeing 787-10 Dreamliner,,4330,,
2024-02-01,18:00,ORD,MUC,ORD,IL,US,2024-02-02,09:35,MUC,,DE,1370,Yes,No,Yes,159,UA,United Airlines,UA,United Airlines,953,UA953,Boeing 787-10 Dreamliner,Boeing 787-10 Dreamliner,Coach,4515,,
2024-02-01,18:00,ORD,MUC,ORD,IL,US,2024-02-02,09:35,MUC,,DE,1370,Yes,No,Yes,159,UA,United Airlines,UA,United Airlines,953,UA953,Boeing 787-10 Dreamliner,Boeing 787-10 Dreamliner,PREMIUMPLUS,4515,,
2024-02-01,18:00,ORD,MUC,ORD,IL,US,2024-02-02,09:35,MUC,,DE,1370,Yes,No,Yes,159,UA,United Airlines,UA,United Airlines,953,UA953,Boeing 787-10 Dreamliner,Boeing 787-10 Dreamliner,Business,4515,,
2024-02-01,18:00,ORD,MUC,ORD,IL,US,2024-02-02,09:35,MUC,,DE,1370,Yes,No,Yes,159,UA,United Airlines,UA,United Airlines,953,UA953,Boeing 787-10 Dreamliner,Boeing 787-10 Dreamliner,,4515,,
2024-02-01,16:20,ORD,VIE,ORD,IL,US,2024-02-02,08:10,VIE,,AT,740,Yes,No,Yes,134,OS,Austrian Airlines,OS,Austrian Airlines,66,OS66,772,Boeing 777-200,Coach,4699,,
2024-02-01,16:20,ORD,VIE,ORD,IL,US,2024-02-02,08:10,VIE,,AT,740,Yes,No,Yes,134,OS,Austrian Airlines,OS,Austrian Airlines,66,OS66,772,Boeing 777-200,,4699,,
2024-02-01,19:05,ORD,ZRH,ORD,IL,US,2024-02-02,10:45,ZRH,,CH,825,Yes,No,Yes,141,LX,SWISS International Airlines,LX,SWISS International Airlines,9,LX9,333,Airbus A330-300,Coach,4429,,
