Departure Date,Departure Time,Departure Airport Code,Arrival Airport Code,Departure City,Departure State,Departure Country,Arrival Date,Arrival Time,Arrival City,Arrival State,Arrival Country,Flight Duration,Overnight Flight,# Stops,Nonstop Flight,# Available Tickets,Booking Airline Code,Booking Airline Description,Operating Airline Code,Operating Airline Description,Operating Airline Flight #,Operating Airline Flight # Description,Aircraft Code,Aircraft Description,Cabin Class,Airline Points,Airline Taxes,Currency
2024-02-03,11:35,ORD,IST,ORD,IL,US,2024-02-04,06:55,IST,,TR,980,Yes,No,Yes,120,TK,Turkish Airlines,TK,Turkish Airlines,186,TK186,359,Airbus A350-900,Coach,5457,,
2024-02-03,11:35,ORD,IST,ORD,IL,US,2024-02-04,06:55,IST,,TR,980,Yes,No,Yes,120,TK,Turkish Airlines,TK,Turkish Airlines,186,TK186,359,Airbus A350-900,,5457,,
2024-02-03,18:05,ORD,BRU,ORD,IL,US,2024-02-04,08:55,BRU,,BE,820,Yes,No,Yes,274,UA,United Airlines,UA,United Airlines,972,UA972,781,Boeing 787-10 Dreamliner,Coach,4146,,
2024-02-03,18:05,ORD,BRU,ORD,IL,US,2024-02-04,08:55,BRU,,BE,820,Yes,No,Yes,274,UA,United Airlines,UA,United Airlines,972,UA972,781,Boeing 787-10 Dreamliner,PREMIUMPLUS,4146,,
2024-02-03,18:05,ORD,BRU,ORD,IL,US,2024-02-04,08:55,BRU,,BE,820,Yes,No,Yes,274,UA,United Airlines,UA,United Airlines,972,UA972,781,Boeing 787-10 Dreamliner,Business,4146,,
2024-02-03,18:05,ORD,BRU,ORD,IL,US,2024-02-04,08:55,BRU,,BE,820,Yes,No,Yes,274,UA,United Airlines,UA,United Airlines,972,UA972,781,Boeing 787-10 Dreamliner,,4146,,
2024-02-03,21:15,ORD,LHR,ORD,IL,US,2024-02-04,11:15,LHR,,GB,1355,Yes,No,Yes,201,UA,United Airlines,UA,United Airlines,938,UA938,763,Boeing 767-300,Coach,3940,,
2024-02-03,21:15,ORD,LHR,ORD,IL,US,2024-02-04,11:15,LHR,,GB,1355,Yes,No,Yes,201,UA,United Airlines,UA,United Airlines,938,UA938,763,Boeing 767-300,PREMIUMPLUS,3940,,
2024-02-03,21:15,ORD,LHR,ORD,IL,US,2024-02-04,11:15,LHR,,GB,1355,Yes,No,Yes,201,UA,United Airlines,UA,United Airlines,938,UA938,763,Boeing 767-300,Business,3940,,
2024-02-03,21:15,ORD,LHR,ORD,IL,US,2024-02-04,11:15,LHR,,GB,1355,Yes,No,Yes,201,UA,United Airlines,UA,United Airlines,938,UA938,763,Boeing 767-300,,3940,,
2024-02-03,16:20,ORD,VIE,ORD,IL,US,2024-02-04,08:10,VIE,,AT,740,Yes,No,Yes,148,OS,Austrian Airlines,OS,Austrian Airlines,66,OS66,772,Boeing 777-200,Coach,4699,,
2024-02-03,16:20,ORD,VIE,ORD,IL,US,2024-02-04,08:10,VIE,,AT,740,Yes,No,Yes,148,OS,Austrian Airlines,OS,Austrian Airlines,66,OS66,772,Boeing 777-200,,4699,,
